show_id,director,cast
81173255,Chad Archibald,"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond"
81078908,Brian Baugh,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams"
81155784,A. L. Vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth"
80201906,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee"
80052612,Ben Palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge"
80113641,,"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar"
81054495,Chris Howe,Mo Gilligan
80996949,,"Adam Conover, Adam Lustick, Emily Axford"
80239337,,"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara"
70212504,Ken Kwapis,"Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston"
81011682,,
80128317,,
81027384,,
80030186,,
80116921,,"Eric Edelstein, Demetri Martin, Bobby Moynihan"
80187061,Park In-je,"Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park"
80181555,,
80081155,"Rod Blackhurst, Brian McGinn",
80184358,,"Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin"
80198585,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd"
70233894,Mahsun Kırmızıgül,"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh"
81011955,Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli"
80128722,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia"
80182115,Jacob LaMendola,
80163293,,"Erma Fatima, Rahim Razali, Umie Aida, Nora Danish"
80104068,Ritesh Batra,"Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville"
80119349,Dylan Howitt,
80199032,,Paul Hollywood
80180449,,"Sara Ali, Remy Ishak, Rita Rudaini, Mirza Salihovic, Hafizul Kamal, Miller Khan"
80019931,William Lau,"Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey"
81053893,Mana Yasuda,
80200087,Brian De Palma,"Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, Søren Malling, Paprika Steen, Helena Kaittani"
81053892,Mana Yasuda,"Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu"
81002850,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya"
81004470,Han Yan,"Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke"
80157072,Jeremy Saulnier,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie"
81001809,Kim A. Snyder,
80201933,,
81002864,Raditya Dika,"Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes"
81016750,Rocky Soraya,"Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman"
81002866,Sunil Soraya,"Herjunot Ali, Pevita Pearce, Reza Rahadian, Randy Nidji, Gesya Shandy, Kevin Andrean, Arzetti Bilbina"
80992039,"Álvaro Longoria, Gerardo Olivares",
80126507,Brendan Byrne,
80225885,,"Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain"
81132443,Gupse Özay,"Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, Hülya Duyar, Ali Çelik, Mert Öner"
80218107,,"Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin"
80231903,Jim Mickle,"Boyd Holbrook, Michael C. Hall, Cleopatra Coleman, Bokeem Woodbine, Rudi Dharmalingam, Rachel Keller"
80220715,,"Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal Yıldız, Richy Müller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin Jérôme Schanz, Nimo, Christopher Schärf, Slavko Popadic"
81171121,"Jumpei Mizusaki, Koji Morimoto, Michael Arias, Masaru Matsumoto, Arthell Isom, Henry Thurlow, Takanobu Mizuno, Elsa Nakamichi, Hajime Sasaki, Shinji Takagi",
80241248,,"Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett"
81012295,Chi Fat Chan,"Liu Kai Chi, Lam Yiu-sing, Tony Tsz-Tung Wu, Poon Chan-leung, Sun Li Man, Tam Sin Yin, Sham Ka Ki, Wang Simin, Jan Lamb"
80060037,Nabil Ayouch,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara El Mhamdi Elaaloui, Abdellah Didane, Danny Boushebel, Carlo Brandt, Camélia Montassere"
60003155,"Rob LaDuca, Robert C. Ramirez","Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett"
81177238,Mangesh Hadawale,"Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle"
70270775,Wong Kar Wai,"Tony Leung Chiu-wai, Zhang Ziyi, Chang Chen, Xiao Shen-Yang, Zhao Benshan, Song Hye-kyo, Wang Qingxiang, Zhang Jin, Lo Hoi-pang, Cung Le, Julian Cheung"
81025403,,"Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda"
80215923,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, Ben Cross, Jamie Andrew Cutler"
80151483,Louis J. Horvitz,"Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole"
80173625,"Linda Saffire, Adam Schlesinger","Peter Martins, Sean Suozzi, Gretchen Smith, Ashley Laracey, Tiler Peck, Damian Woetzel, Albert Evans, Sterling Hyltin, Craig Hall, Peter Boal, Karen Young, Michelle Rodriguez, Jock Soto, Adam Barrett"
80005444,"Luis Lopez, Clay Tweel",
80244682,Otilia Portillo Padua,
81075519,Le Van Kiet,"Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa"
80166318,"Eric Summer, Éric Warin","Bronwen Mantel, Mel Brooks, Maddie Ziegler, Dane DeHaan, Julie Khaner, Elle Fanning, Terrence Scammell, Tamir Kapelian, Carly Rae Jepsen"
81186758,B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi"
81186757,B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi"
80108976,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter, James Remar, Brian Presley, Johnny Wactor, Adam Scott Miller, Cody Walker, Callard Harris"
80208155,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson"
80198423,Sonia Lowman,
80162144,Benjamin Turner,"Lyndon Ogbourne, Billy Zane, Billy Boyd, Joel Dommett, Elliot Gleave, Gala Gordon, Darren Day, Owain Arthur, Craig Gazey, Ben Cura"
81053953,Michael J. Bassett,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, Akshay Kumar, Tanya van Graan, Andre Jacobs, Sven Ruygrok"
81074113,Troy Miller,Jeff Dunham
80992496,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian"
70304191,Warren P. Sonoda,"Mike Smith, John Paul Tremblay, Robb Wells, Patrick Roach, Mishael Morgan, Sarah Jurgens, Shannon Leroux, Dana Woods, Howard Jerome, Tom Green"
80103311,Álex de la Iglesia,"Blanca Suárez, Mario Casas, Carmen Machi, Secun de la Rosa, Jaime Ordoñez, Terele Pávez, Joaquín Climent, Alejandro Awada"
81176200,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti"
80238106,,"Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley"
80208906,Archie Borders,"Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole"
80097321,"Bonni Cohen, Jon Shenk",
80106966,Bobcat Goldthwait,Iliza Shlesinger
81004814,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould"
81080769,Deepti Naval,"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman"
70267838,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega"
80211380,Anthony Byrne,"Natalie Dormer, Ed Skrein, Emily Ratajkowski, Neil Maskell, Jan Bijvoet, James Cosmo, Joely Richardson"
80196586,Chris Moukarbel,Lady Gaga
80099204,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross"
80059432,Alex Winter,"Ian Hecox, Anthony Padilla, Jenna Marbles, Grace Helbig, Harley Morenstein, Jillian Nelson, Brittany Ross, Michael Ian Black, Steve Austin"
81172721,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun Safaru, iLLBLISS, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja"
81172727,Toka McBaror,"Ramsey Nouah, Jim Iyke, Ayo Makun, Falz, Richard Mofe-Damijo, Iretiola Doyle, Damilola Adegbite, Rosaline Meurer, Jide Kosoko, Ali Nuhu, Segun Arinze, Francis Duru"
70153543,Gilles Paquet-Brenner,"Aidan Quinn, Kristin Scott Thomas, Frédéric Pierrot, Michel Duchaussoy, Dominique Frot, Niels Arestrup, Mélusine Mayance, Gisèle Casadesus, Natasha Mashkevich"
81172728,Niyi Akinmolayan,"Enyinna Nwigwe, Daniella Down, Banky Wellington, Adesua Etomi, Somkele Iyamah, Iretiola Doyle, Sola Sobowale, Michael De Pinna, Lynita Crofford, Patience Ozokwor"
81095101,,"Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra"
80195173,,
80241960,,"Misaki Kuno, Tomoyo Kurosawa, Maki Kawase, Satomi Arai, Kaori Nazuka, Romi Park, Yuki Kaji, Yukitoshi Tokumoto, Rie Kugimiya, Junichi Suwabe, Jouji Nakata"
80115346,,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker"
80124522,,"Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke"
80102952,"Rashida Jones, Alan Hicks",Quincy Jones
80214464,,Rafinha Bastos
80157073,,"Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr."
80243600,Scott Aukerman,"Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani Linayao, Will Ferrell"
81020513,,"Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier"
81020518,,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora"
81020523,Mariano Barroso,"Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada"
80216172,,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland"
81122669,Amara Cash,"Madison Lawlor, Montana Manning, Andrew Pifko, Monte Markham, Kamala Jones, Jodi Carol Harrison, Seth Cassell, Ronnie Clark, Lissa Danshaw, J.J. Hawkins"
80184771,,Bill Gates
81000389,"Kiko Cruz Claverol, Patricia Font","Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet"
81132439,Bedran Güzel,"Oğuzhan Koç, İbrahim Büyükak, Ezgi Eyüboğlu, Olgun Toker, Kadir Polatçi, Aycan Koptur, Bahar Şahin, Kıvanç Baran Arslan"
81035117,,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath"
80244627,,"Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo"
80150502,Chun Wong,"Shawn Yue, Eric Tsang, Elaine Jin, Charmaine Fong"
80189183,,"Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara"
80997866,,Chow Yun Fat
80119815,"Coerte Voorhees, John Voorhees","Pantelis Kodogiannis, Kassandra Voyagis, Paul Freeman, Michael Byrne, Georges Corraface, Yorgo Voyagis, Giancarlo Giannini, Kelly Eleftheriou"
80993149,Samuel D. Pollard,
80224294,,"Phakin Khamwilaisak, Sumret Muengput, Alisa Kunkwaeng, Zozeen Panyanut Jirarottanakasem, Akarat Nimitchai, Warawut Poyim, Vithaya Pansringarm, Phutharit Prombandal, Kazu Patrick Tang"
80203776,Ham Tran,"Kate Nhung, Thanh Pham, Petey Majik Nguyen, Suboi, Jayvee Mai The Hiep, Lam Thanh My"
80143797,Feng Xiaogang,"Fan Bingbing, Guo Tao, Da Peng, Zhang Jiayi, Yu Hewei, Yi Zhao, Zonghan Li, Zhao Lixin, Tian Xiaojie, Yin Yuanzhang, Enhe Feng, Xin Liu, Jiang Yongbo"
80161931,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Beau Knapp, Jason Mitchell, Scott Mescudi, Jeff Gum, Joey Bicicchi"
80128096,,
80057610,,"Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo"
80017275,Liv Ullmann,"Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy"
81107545,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora"
70118953,"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Jacques Perrin, Rie Miyazawa, Lancelot Perrin"
80190449,"Justin Benson, Aaron Moorhead","Aaron Moorhead, Justin Benson, Callie Hernandez, Lew Temple, James Jordan, Tate Ellington"
70259208,,"Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White"
80163156,Michael Bonfiglio,Jerry Seinfeld
80176878,,"Sam Worthington, Paul Bettany, Chris Noth, Jeremy Bobb, Ben Weber, Lynn Collins, Brían F. O'Byrne, Keisha Castle-Hughes, Mark Duplass, Elizabeth Reaser, Diesel Madkins"
80131281,,"Karol Modzelewski, Łukasz ""Lotek” Lodkowski"
